Canon EOS 1200D,Canon EOS 100D,Nikon DSC D3200
ISO Speed,ISO Speed,ISO Speed
Auto,Auto,x
100,100,100
200,200,200
400,400,400
800,800,800
1600,1600,1600
3200,3200,3200
6400,6400,6400
x,12800,12800
