Canon EOS 1200D,Canon EOS 100D,Nikon DSC D3200
Aperture,Aperture,F-Number
4,4,x
4.5,4.5,f/4.5
5,5,f/5
5.6,5.6,f/5.6
6.3,6.3,f/6.3
7.1,7.1,f/7.1
8,8,f/8
9,9,f/9
10,10,f/10
11,11,f/11
13,13,f/13
14,14,f/14
16,16,f/16
18,18,f/18
20,20,f/20
22,22,f/22
25,25,f/25
x,x,f/29
