Canon EOS 1200D,Canon EOS 100D,Nikon DSC D3200
Image Format,Image Format,Image Quality
Large Fine JPEG,Large Fine JPEG,JPEG Basic
Large Normal JPEG,Large Normal JPEG,JPEG Normal
Medium Fine JPEG,Medium Fine JPEG,JPEG Fine
Medium Normal JPEG,Medium Normal JPEG,x
Small Fine JPEG,Small Fine JPEG,x
Small Normal JPEG,Small Normal JPEG,x
Smaller JPEG,Smaller JPEG,x
Tiny JPEG,Tiny JPEG,x
RAW + Large Fine JPEG,RAW + Large Fine JPEG,NEF+Fine
RAW,RAW,NEF (Raw)
